,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
12664,12664,2021.0,28095.0,Russia,Russia,2000-07-16,Attack,Centre-Forward,Left,180.0,,RU1,19,2,2866.0,6,0,43,4428000.0
9677,9677,2021.0,681.0,Sweden,Sweden,1999-09-21,Attack,Centre-Forward,Right,192.0,Universal Sports Group,ES1,59,16,9866.0,17,0,164,33210000.0
623,623,2017.0,336.0,Costa Rica,Costa Rica,1985-08-18,Attack,Attacking Midfield,Left,187.0,,PO1,17,23,7584.0,7,0,114,276750.0
9390,9390,2018.0,862.0,,Ghana,1998-01-09,Attack,Centre-Forward,Right,184.0,,IT1,1,1,189.0,1,0,3,110700.0
12432,12432,2019.0,1269.0,France,France,2000-10-11,Defender,Centre-Back,Right,185.0,Hexagon,NL1,0,0,302.0,1,0,8,332100.0
12889,12889,2021.0,1420.0,Morocco,Morocco,2000-04-19,Midfield,Central Midfield,Right,182.0,Trivela SM,FR1,2,2,1623.0,2,0,32,3321000.0
2973,2973,2019.0,3729.0,Spain,Spain,1993-03-14,Defender,Left-Back,Left,180.0,MagicPlayers,RU1,4,9,10989.0,28,0,138,276750.0
2099,2099,2021.0,3205.0,Romania,Romania,1989-06-04,Goalkeeper,,Right,189.0,,TR1,0,0,11126.0,13,2,125,442800.0
930,930,2016.0,979.0,Jugoslawien (SFR),Serbia,1988-04-12,Goalkeeper,,Right,192.0,Goodman Sports,PO1,0,0,2880.0,5,0,32,83640.0
3979,3979,2016.0,2672.0,Greece,Greece,1990-08-16,Midfield,Defensive Midfield,Right,178.0,,GR1,0,0,4452.0,19,0,63,166050.0
13289,13289,2019.0,18105.0,Brazil,Brazil,1996-03-02,Defender,Right-Back,Right,163.0,Focco,UKR1,0,0,141.0,0,0,4,138990.0
3275,3275,2017.0,157.0,Netherlands,Curacao,1992-04-16,Attack,Centre-Forward,Right,192.0,Number22 Sportmanagement,BE1,4,2,444.0,0,0,8,553500.0
5079,5079,2021.0,1038.0,The Gambia,The Gambia,1992-10-24,Defender,Centre-Back,Left,191.0,LIAN Sports Group,IT1,6,2,16268.0,37,1,185,5535000.0
8222,8222,2021.0,467.0,Germany,DR Congo,1996-10-05,Midfield,Left Midfield,Right,181.0,M-Soccermanagement,NL1,7,6,2431.0,3,0,29,885600.0
12702,12702,2021.0,2778.0,Denmark,Denmark,2002-07-28,Attack,Right Winger,Right,188.0,,DK1,2,2,696.0,0,0,19,553500.0
6423,6423,2018.0,475.0,Japan,Japan,1994-10-03,Attack,Centre-Forward,Right,190.0,"Universal Sports Japan Ltd,",BE1,1,0,26.0,0,0,2,194340.0
13152,13152,2021.0,172.0,,Belgium,2002-01-21,Attack,Right Winger,Right,173.0,TTMA,BE1,0,0,386.0,2,0,20,774900.0
3961,3961,2020.0,2425.0,Brazil,Brazil,1994-05-03,Attack,Attacking Midfield,,171.0,,PO1,19,15,10777.0,25,1,155,1771200.0
9978,9978,2017.0,1083.0,Russia,Russia,1997-06-17,Goalkeeper,,Right,197.0,,RU1,0,0,120.0,0,0,1,221400.0
212,212,2021.0,244.0,Zaire,France,1985-03-28,Goalkeeper,,Right,185.0,S.C. Sports Management,FR1,0,0,21967.0,11,2,247,1660500.0
263,263,2015.0,336.0,Brazil,Brazil,1984-11-28,Goalkeeper,,Right,191.0,,PO1,0,0,851.0,1,0,10,221400.0
9917,9917,2021.0,36.0,Nigeria,Nigeria,1997-12-31,Defender,Right-Back,Right,175.0,Triple S Sports,TR1,2,4,4027.0,5,0,58,8856000.0
13492,13492,2021.0,2420.0,Mozambique,Mozambique,2001-01-26,Attack,Left Winger,,174.0,Promoesport,PO1,0,3,250.0,0,0,11,885600.0
2336,2336,2021.0,29.0,Venezuela,Venezuela,1989-09-16,Attack,Centre-Forward,Right,186.0,JM10 SPORT,GB1,62,23,15728.0,18,2,225,4428000.0
3893,3893,2016.0,2921.0,Italy,Italy,1992-01-27,Attack,Centre-Forward,,185.0,TMP SOCCER srl ,IT1,0,0,345.0,1,0,7,553500.0
81,81,2021.0,1132.0,England,England,1987-04-16,Attack,Right Winger,Right,165.0,CAA Base Ltd,GB1,11,13,12731.0,17,0,209,1107000.0
6004,6004,2016.0,339.0,Romania,Romania,1989-12-06,Defender,Left-Back,Left,174.0,CID Marinescu,UKR1,0,5,,5,0,38,332100.0
4226,4226,2021.0,89.0,Nigeria,Nigeria,1990-10-14,Attack,Centre-Forward,Right,180.0,ROOF,L1,34,10,7556.0,8,0,138,664200.0
1929,1929,2018.0,1245.0,Tunisia,Tunisia,1990-10-28,Attack,Left Winger,Right,179.0,Malek Lamloum,BE1,1,0,185.0,0,0,7,1660500.0
8692,8692,2018.0,714.0,Spain,Spain,1997-06-02,Midfield,Central Midfield,Right,176.0,,ES1,1,1,385.0,1,0,8,553500.0
6040,6040,2021.0,347.0,France,France,1994-05-12,Goalkeeper,,Right,191.0,,FR1,0,0,3791.0,2,0,45,1328400.0
13250,13250,2019.0,520.0,,Mali,2000-12-20,Midfield,Defensive Midfield,,178.0,GTS Management,BE1,0,0,,0,0,2,276750.0
8682,8682,2020.0,2414.0,,Denmark,1995-10-16,Defender,Centre-Back,Right,188.0,,DK1,3,3,4372.0,4,0,52,387450.0
6076,6076,2019.0,1283.0,Netherlands,Netherlands,1995-02-18,Attack,Attacking Midfield,Right,177.0,Eijkelkamp Pro Soccer,NL1,6,3,3614.0,7,0,77,138990.0
2614,2614,2015.0,2293.0,Germany,Germany,1989-12-03,Attack,Attacking Midfield,Left,177.0,Sportagentur Lokurlu ,TR1,0,0,,0,0,5,83640.0
5441,5441,2018.0,443.0,,Denmark,1995-02-04,Goalkeeper,,Right,188.0,,DK1,0,0,650.0,0,0,7,166050.0
3860,3860,2018.0,338.0,Ukraine,Ukraine,1992-05-07,Goalkeeper,,Right,190.0,,UKR1,0,0,4070.0,1,1,45,664200.0
13144,13144,2021.0,167.0,United States,United States,2003-01-09,Attack,Centre-Forward,Right,185.0,SXI,L1,0,0,,0,0,11,9963000.0
6571,6571,2019.0,33.0,Germany,Germany,1997-02-07,Midfield,Central Midfield,Right,174.0,DLT Sports Group,L1,0,0,2.0,0,0,1,138990.0
1949,1949,2021.0,2410.0,UdSSR,Russia,1991-06-13,Attack,Centre-Forward,Right,191.0,Field Management,RU1,30,19,8981.0,21,0,142,2214000.0
13482,13482,2021.0,3205.0,Nigeria,Nigeria,1999-04-17,Midfield,Defensive Midfield,Right,176.0,PG SPORTS 99,TR1,0,0,57.0,0,0,1,498150.0
10766,10766,2021.0,371.0,Scotland,Scotland,2000-01-19,Defender,Centre-Back,Right,188.0,Deadline Day Soccer Group,SC1,2,1,3209.0,4,0,40,1660500.0
5844,5844,2019.0,3508.0,France,Congo,1990-01-26,Defender,Centre-Back,Right,187.0,Léandre Chouya,BE1,3,2,9025.0,16,1,111,332100.0
10433,10433,2019.0,7378.0,Brazil,Brazil,1991-11-05,Defender,Centre-Back,Right,189.0,,PO1,6,4,4772.0,6,1,58,996300.0
4504,4504,2017.0,3690.0,UdSSR,Russia,1989-11-11,Defender,Right-Back,Right,,,RU1,0,0,,11,1,57,276750.0
3340,3340,2021.0,58.0,Belgium,Belgium,1994-11-07,Attack,Centre-Forward,Right,172.0,Let's Play,BE1,49,20,10844.0,27,1,199,3321000.0
6836,6836,2019.0,4603.0,Egypt,Egypt,1993-09-17,Attack,Left Winger,Right,176.0,BSM,GR1,38,26,12952.0,33,0,173,1660500.0
8352,8352,2021.0,6992.0,Ukraine,Ukraine,1993-06-25,Defender,Centre-Back,Right,193.0,ProStar,UKR1,4,0,7167.0,17,0,85,221400.0
2950,2950,2020.0,4171.0,UdSSR,Moldova,1990-08-17,Midfield,Central Midfield,Both,184.0,,IT1,14,13,,32,1,220,1992600.0
6127,6127,2014.0,3709.0,Colombia,Colombia,1990-04-05,Attack,Left Winger,Left,178.0,Fetama Sports Management,ES1,2,2,2292.0,6,0,39,1217700.0
7847,7847,2016.0,370.0,England,England,1997-01-27,Attack,Centre-Forward,Right,182.0,Major League Sports Management,SC1,0,0,,0,0,3,166050.0
13071,13071,2021.0,583.0,France,France,2002-01-23,Defender,Left-Back,Left,176.0,Agence 442,FR1,0,0,685.0,1,0,12,442800.0
5453,5453,2019.0,762.0,Ghana,Ghana,1992-01-10,Attack,Left Winger,Left,165.0,,GB1,5,8,5209.0,5,0,108,1107000.0
8333,8333,2015.0,449.0,Turkey,Turkey,1995-11-16,Midfield,Central Midfield,Right,174.0,MEC Management,TR1,0,0,3.0,0,0,1,138990.0
6368,6368,2018.0,418.0,Brazil,Brazil,1993-02-16,Midfield,Defensive Midfield,Right,181.0,P&P Sport Management S.A.M.,ES1,0,0,1856.0,2,0,37,2214000.0
12486,12486,2021.0,206.0,United States,United States,1999-08-13,Midfield,Central Midfield,Both,185.0,in4 sports,DK1,6,3,2685.0,11,0,53,1439100.0
1418,1418,2021.0,48726.0,UdSSR,Ukraine,1989-02-20,Midfield,Central Midfield,Left,181.0,AZ Football,UKR1,1,1,3388.0,14,0,46,332100.0
17,17,2017.0,403.0,Nigeria,Nigeria,1984-10-01,Attack,Centre-Forward,Right,177.0,Libero Sports,NL1,38,6,6295.0,14,1,91,276750.0
