,player_id,last_season,current_club_id,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,agent_name,domestic_competition_id,goals,assists,minutes_played,yellow_cards,red_cards,total_appearance,market_value_usd
634,634,2021.0,6418.0,France,Benin,1988-10-10,Attack,Centre-Forward,Right,,,GR1,7,2,2390.0,5,0,51,221400.0
2791,2791,2015.0,825.0,Germany,Turkey,1993-07-31,Attack,Right Winger,Left,182.0,,TR1,1,1,426.0,1,0,10,28290.0
10349,10349,2019.0,2420.0,Portugal,Cape Verde,1996-09-05,Defender,Right-Back,Right,175.0,,PO1,0,2,158.0,0,0,4,415740.0
360,360,2019.0,371.0,England,England,1989-03-25,Attack,Left Winger,Right,177.0,ICM Stellar Sports,SC1,64,25,12582.0,4,0,190,1107000.0
7033,7033,2020.0,4171.0,Italy,Italy,1990-06-17,Midfield,Central Midfield,Right,180.0,AC Sport Consulting,IT1,0,0,844.0,6,0,16,194340.0
6092,6092,2021.0,338.0,Ukraine,Ukraine,1994-06-25,Midfield,Central Midfield,Left,179.0,ProStar,UKR1,8,8,5615.0,22,1,98,1328400.0
10396,10396,2021.0,10484.0,Netherlands,Turkey,2000-02-11,Midfield,Defensive Midfield,Right,177.0,HCM Sports Management,TR1,1,2,3325.0,7,0,71,2214000.0
11139,11139,2020.0,1268.0,Netherlands,Netherlands,1999-06-21,Defender,Left-Back,Left,185.0,Key United,NL1,1,0,2197.0,4,0,28,442800.0
9921,9921,2019.0,60949.0,Argentina,Argentina,1997-01-28,Attack,Right Winger,Left,167.0,Pedro Aldave,GR1,6,2,1737.0,3,0,26,1107000.0
6449,6449,2019.0,678.0,Denmark,Denmark,1994-11-20,Defender,Left-Back,Left,184.0,PROSPORT Management,DK1,8,14,8756.0,18,0,102,2435400.0
7451,7451,2021.0,2441.0,Poland,Poland,1995-06-16,Midfield,Central Midfield,Right,182.0,UNIDOS,GR1,5,3,4700.0,15,0,71,1992600.0
5977,5977,2018.0,798.0,Belgium,Belgium,1996-01-19,Defender,Centre-Back,Left,186.0,Key United,NL1,0,2,2504.0,3,0,30,498150.0
9522,9522,2021.0,3522.0,France,France,1998-02-08,Defender,Right-Back,Right,180.0,Classico Sports Management,IT1,2,5,12082.0,21,2,141,3874500.0
1530,1530,2021.0,16795.0,Spain,Spain,1988-06-25,Midfield,Central Midfield,Right,180.0,InterStarDeporte,ES1,5,11,6449.0,25,0,108,1107000.0
4564,4564,2015.0,47.0,Greece,Jordan,1989-09-07,Attack,Attacking Midfield,Left,186.0,Bengal Soccer,GR1,4,1,1829.0,7,0,31,221400.0
4077,4077,2021.0,11688.0,Australia,Australia,1990-12-16,Defender,Left-Back,Left,170.0,Beckster Int.,TR1,6,11,17177.0,35,0,204,774900.0
13483,13483,2021.0,3729.0,,Russia,2002-03-24,Midfield,Defensive Midfield,Right,191.0,FM Sports Agency,RU1,1,0,516.0,2,0,7,276750.0
3848,3848,2015.0,642.0,Netherlands,Netherlands,1991-06-26,Midfield,Defensive Midfield,Left,180.0,Quadrans,NL1,0,1,856.0,2,0,14,276750.0
11926,11926,2021.0,449.0,Turkey,Turkey,1999-04-28,Defender,Right-Back,Right,170.0,Asportsmanagement,TR1,1,2,3145.0,5,1,51,1217700.0
2830,2830,2015.0,820.0,Jugoslawien (SFR),Serbia,1988-01-21,Attack,Left Winger,Right,179.0,,TR1,5,2,1316.0,2,0,27,166050.0
2011,2011,2019.0,28095.0,UdSSR,Russia,1988-01-13,Attack,Left Winger,Right,176.0,,RU1,13,14,6695.0,24,0,131,276750.0
1257,1257,2017.0,1244.0,Argentina,Argentina,1989-07-07,Defender,Centre-Back,Right,188.0,IBISA,ES1,1,1,7717.0,22,1,96,498150.0
1059,1059,2017.0,995.0,Sweden,Sweden,1991-08-13,Attack,Right Winger,Left,181.0,FootNation,FR1,2,3,1991.0,2,0,39,442800.0
3673,3673,2019.0,2832.0,Brazil,Brazil,1986-07-22,Defender,Left-Back,Left,176.0,Deniz Uysal,TR1,0,3,4033.0,13,0,51,332100.0
10368,10368,2018.0,800.0,Italy,Italy,1998-10-13,Defender,Centre-Back,Right,195.0,P&P Sport Management S.A.M.,IT1,0,0,90.0,0,0,1,332100.0
9759,9759,2016.0,8024.0,Paraguay,Paraguay,1995-05-21,Attack,Centre-Forward,Right,185.0,La Squadra Sports - R. Bittar,PO1,12,4,3158.0,16,0,56,442800.0
9488,9488,2016.0,47.0,Greece,Greece,1995-05-02,Midfield,Defensive Midfield,Left,184.0,,GR1,0,0,9.0,1,0,1,221400.0
13003,13003,2021.0,273.0,Chad,France,2003-09-08,Attack,Right Winger,Left,180.0,BS Group - BS Law,FR1,0,0,79.0,0,0,10,2214000.0
9027,9027,2019.0,126.0,Germany,Germany,1999-01-05,Midfield,Central Midfield,Right,181.0,EMG Mundial,TR1,1,2,354.0,0,1,14,83640.0
12067,12067,2019.0,683.0,Belgium,Serbia,2001-03-25,Midfield,Defensive Midfield,Right,177.0,INTERNATIONAL SPORTS OFFICE,GR1,0,0,10.0,0,0,1,221400.0
7573,7573,2021.0,2696.0,Russia,Russia,1996-04-14,Attack,Left Winger,Right,175.0,Pavel Andreev,RU1,6,20,5359.0,5,0,74,3874500.0
6547,6547,2015.0,133.0,Yugoslavia (Republic),Sweden,1996-06-06,Attack,Centre-Forward,Left,184.0,DK Group - Denis Kadiric,NL1,0,0,199.0,2,0,8,194340.0
8241,8241,2018.0,10690.0,Brazil,Brazil,1995-11-30,Attack,Left Winger,Right,183.0,LEFT Sports,UKR1,4,0,1035.0,3,0,15,1660500.0
12601,12601,2021.0,11688.0,Turkey,Turkey,2001-01-01,Midfield,Central Midfield,Left,177.0,AO Sports Management,TR1,3,2,1297.0,0,0,32,2214000.0
1550,1550,2015.0,2439.0,Brazil,Brazil,1986-12-13,Attack,Right Winger,Right,172.0,,RU1,1,1,,1,0,13,387450.0
10034,10034,2021.0,2715.0,The Gambia,The Gambia,1998-11-14,Attack,Right Winger,Left,166.0,World Elites,BE1,5,1,2002.0,2,0,25,885600.0
13218,13218,2021.0,2715.0,France,Morocco,1997-01-14,Defender,Centre-Back,Right,183.0,Karim Rafiki,BE1,1,0,2831.0,8,0,32,719550.0
5046,5046,2021.0,18105.0,Ukraine,Ukraine,1994-04-27,Midfield,Defensive Midfield,Right,186.0,KS-Consultoria de futebol,UKR1,0,0,145.0,0,1,3,553500.0
1056,1056,2021.0,520.0,Belgium,Belgium,1989-03-01,Goalkeeper,,Right,185.0,,BE1,0,0,,2,0,55,110700.0
7733,7733,2019.0,449.0,Turkey,Turkey,1999-11-20,Midfield,Central Midfield,Right,183.0,,TR1,0,0,16.0,0,0,2,28290.0
10660,10660,2021.0,1003.0,England,England,1997-12-09,Midfield,Left Midfield,Right,182.0,Wasserman,GB1,27,29,8568.0,3,0,134,35424000.0
9949,9949,2021.0,235.0,Netherlands,Netherlands,2000-01-12,Midfield,Central Midfield,Right,179.0,HCM Sports Management,NL1,0,0,,0,0,16,276750.0
3500,3500,2014.0,14171.0,France,Comoros,1987-04-09,Defender,Right-Back,Right,185.0,,FR1,0,4,2582.0,5,1,30,166050.0
4989,4989,2021.0,347.0,France,France,1992-03-24,Defender,Left-Back,Left,180.0,Léandre Chouya,FR1,4,4,5351.0,12,0,69,2214000.0
8934,8934,2021.0,520.0,Bulgaria,Bulgaria,1995-01-22,Defender,Left-Back,Left,185.0,EMD Sports GmbH,BE1,0,5,2946.0,4,1,39,719550.0
8453,8453,2021.0,410.0,Nigeria,Nigeria,1996-01-07,Attack,Centre-Forward,Right,182.0,,IT1,15,20,7260.0,22,1,147,2214000.0
2769,2769,2016.0,1158.0,France,France,1990-05-31,Defender,Right-Back,Right,168.0,BLACKSKILL,FR1,0,0,,1,0,10,387450.0
4356,4356,2018.0,19657.0,Germany,Germany,1995-01-08,Midfield,Defensive Midfield,Both,189.0,FTC,DK1,0,0,908.0,2,0,13,553500.0
11561,11561,2021.0,2715.0,France,France,2001-04-17,Goalkeeper,,Right,184.0,,BE1,0,0,2962.0,2,1,33,940950.0
1149,1149,2020.0,350.0,England,England,1988-07-20,Defender,Centre-Back,Right,190.0,Omni-Sports,GB1,0,2,5844.0,9,0,70,1328400.0
4001,4001,2021.0,762.0,England,England,1992-05-09,Defender,Centre-Back,Left,200.0,,GB1,2,1,7807.0,19,0,95,7749000.0
10853,10853,2019.0,3336.0,Portugal,Guinea-Bissau,1998-12-15,Attack,Attacking Midfield,Both,175.0,Sferico Sports Management,PO1,1,1,1014.0,2,0,15,332100.0
7449,7449,2017.0,16704.0,UdSSR,Russia,1991-01-24,Defender,Centre-Back,Left,193.0,AKA Global GmbH,RU1,1,1,5284.0,8,0,59,774900.0
4577,4577,2021.0,2381.0,Norway,Norway,1992-06-17,Midfield,Central Midfield,Right,183.0,BHM Sports Agency,TR1,2,1,1151.0,4,0,19,1549800.0
6211,6211,2016.0,417.0,France,France,1993-04-23,Attack,Centre-Forward,,170.0,E2A,FR1,6,1,1270.0,3,0,28,332100.0
1130,1130,2021.0,6890.0,Turkey,Turkey,1988-08-11,Goalkeeper,,Right,192.0,Foot & Ball,TR1,0,0,17658.0,5,1,198,498150.0
3742,3742,2021.0,583.0,France,France,1992-09-04,Defender,Left-Back,,182.0,CAA Base Ltd,FR1,17,25,12795.0,26,1,172,5535000.0
5271,5271,2021.0,631.0,Brazil,Italy,1994-08-03,Defender,Left-Back,Left,176.0,PS Sports,GB1,7,7,10204.0,14,2,153,15498000.0
2482,2482,2021.0,6890.0,Turkey,Turkey,1991-01-05,Midfield,Central Midfield,Left,180.0,C&C Sportmanagement,TR1,19,31,14420.0,38,0,210,1660500.0
4776,4776,2020.0,369.0,Denmark,Denmark,1993-11-08,Attack,Centre-Forward,Left,175.0,People In Sport,DK1,11,5,3426.0,2,0,53,276750.0
12414,12414,2020.0,2425.0,,Portugal,2000-03-26,Defender,Right-Back,Right,181.0,Quinas,PO1,0,0,535.0,0,0,9,719550.0
9494,9494,2017.0,3060.0,Greece,Greece,1996-07-27,Attack,Centre-Forward,,192.0,ACE Management,GR1,4,2,777.0,4,0,24,332100.0
9417,9417,2019.0,1050.0,Spain,Spain,1999-03-24,Midfield,Central Midfield,Right,176.0,,ES1,0,0,77.0,0,0,2,774900.0
1466,1466,2015.0,825.0,Turkey,Turkey,1984-08-23,Defender,Centre-Back,Both,185.0,,TR1,2,1,3549.0,3,0,46,28290.0
12222,12222,2021.0,940.0,Spain,Spain,2000-03-27,Attack,Attacking Midfield,Left,177.0,MRHfutbol,ES1,1,0,623.0,0,0,24,1107000.0
6385,6385,2019.0,128.0,Brazil,Brazil,1993-06-07,Attack,Attacking Midfield,Left,178.0,Brazilsport,GR1,7,7,6035.0,13,0,96,332100.0
9436,9436,2021.0,244.0,Brazil,Brazil,1997-05-20,Midfield,Central Midfield,Left,184.0,,FR1,14,12,7029.0,15,0,121,24354000.0
9991,9991,2021.0,2381.0,Turkey,Turkey,1996-10-13,Goalkeeper,,Right,198.0,,TR1,0,0,90.0,0,0,1,83640.0
12633,12633,2021.0,2282.0,Ghana,Ghana,2000-01-09,Attack,Right Winger,Left,179.0,ICM Stellar Sports,BE1,8,8,3941.0,4,0,57,3874500.0
4760,4760,2016.0,1053.0,Austria,Austria,1995-03-23,Goalkeeper,,Right,194.0,A1 Football,DK1,0,0,270.0,0,0,3,774900.0
11080,11080,2019.0,124.0,Scotland,Scotland,2001-08-31,Attack,Right Winger,Right,0.0,CAA Base Ltd,SC1,0,0,23.0,0,0,1,83640.0
1267,1267,2021.0,16704.0,UdSSR,Russia,1989-02-18,Attack,Right Winger,Right,177.0,,RU1,44,28,17733.0,14,0,244,2214000.0
5032,5032,2019.0,1085.0,Portugal,Portugal,1987-04-30,Defender,Centre-Back,Right,185.0,Footunited - João Rui Rodrigues,PO1,0,0,2488.0,12,0,32,28290.0
7906,7906,2021.0,964.0,Russia,Russia,1993-01-15,Midfield,Central Midfield,Right,182.0,,RU1,18,26,15905.0,46,0,222,9963000.0
10637,10637,2018.0,1390.0,Italy,Italy,2000-01-19,Attack,Attacking Midfield,Right,175.0,Quadratum,IT1,0,0,24.0,0,0,2,221400.0
424,424,2021.0,653.0,Greece,Greece,1987-12-09,Defender,Centre-Back,Left,184.0,Vassilis Panagiotakis,GR1,1,11,15516.0,34,1,186,276750.0
5370,5370,2016.0,2420.0,Cote d'Ivoire,Cote d'Ivoire,1992-08-08,Attack,Right Winger,Right,173.0,,PO1,1,0,806.0,2,0,23,110700.0
5930,5930,2021.0,371.0,France,France,1993-03-22,Defender,Centre-Back,Right,196.0,Classico,SC1,15,7,13757.0,22,1,158,4981500.0
3833,3833,2021.0,232.0,Russia,Russia,1993-07-29,Defender,Centre-Back,Right,192.0,Giovanni Damiano Drago,RU1,2,0,8819.0,30,0,113,996300.0
5900,5900,2019.0,14589.0,Israel,Israel,1992-08-16,Defender,Centre-Back,Right,187.0,NIM-Group Sport Management ,RU1,0,0,272.0,0,0,5,442800.0
3452,3452,2017.0,2861.0,South Africa,South Africa,1990-04-10,Midfield,Defensive Midfield,Right,175.0,Prosport International,BE1,1,4,6287.0,10,2,82,1107000.0
2795,2795,2017.0,1096.0,Mali,Mali,1990-03-15,Midfield,Central Midfield,Right,180.0,Let's Play,BE1,1,1,1842.0,8,1,26,55350.0
13105,13105,2021.0,10484.0,Turkey,Turkey,2000-08-18,Midfield,Central Midfield,Right,0.0,Sezer Bravo,TR1,0,0,36.0,0,0,3,55350.0
3380,3380,2014.0,820.0,Turkey,Turkey,1987-11-17,Midfield,Defensive Midfield,Right,188.0,,TR1,0,0,74.0,0,0,1,83640.0
12037,12037,2021.0,16704.0,Russia,Russia,2000-01-31,Defender,Left-Back,Left,169.0,,RU1,0,1,720.0,0,0,8,664200.0
12062,12062,2021.0,347.0,France,Morocco,1997-11-27,Attack,Attacking Midfield,Right,173.0,Classico,FR1,0,0,273.0,0,0,6,1660500.0
10745,10745,2021.0,61825.0,Mali,Mali,1998-07-04,Defender,Left-Back,Left,172.0,Berlin Sports - BFT,UKR1,0,0,819.0,5,0,16,221400.0
4407,4407,2014.0,2457.0,Portugal,Portugal,1993-06-23,Defender,Left-Back,Left,189.0,,PO1,0,0,91.0,1,0,2,138990.0
5966,5966,2021.0,281.0,England,England,1995-09-10,Attack,Left Winger,Right,180.0,ICM Stellar Sports,GB1,22,26,10163.0,17,0,140,77490000.0
9748,9748,2019.0,126.0,Turkey,Turkey,1999-04-06,Midfield,Defensive Midfield,Right,173.0,SPORTBACK,TR1,0,0,1622.0,5,0,45,387450.0
11367,11367,2018.0,2700.0,Russia,Russia,1996-02-23,Defender,Left-Back,Left,187.0,,RU1,0,0,197.0,0,0,7,305040.0
11393,11393,2019.0,2995.0,Portugal,Portugal,1997-12-04,Attack,Left Winger,Left,176.0,PromoSport,PO1,0,0,224.0,3,0,7,221400.0
6000,6000,2021.0,2696.0,Netherlands,Netherlands,1995-07-13,Defender,Right-Back,Right,180.0,,RU1,10,16,9837.0,28,3,115,1107000.0
2101,2101,2019.0,141.0,France,France,1988-12-15,Midfield,Defensive Midfield,Right,196.0,,TR1,14,11,22843.0,45,2,274,6642000.0
4916,4916,2016.0,252.0,Brazil,Brazil,1989-12-18,Midfield,Central Midfield,,175.0,Elenko Sports Ltda.,IT1,1,9,5825.0,10,0,78,3874500.0
6469,6469,2015.0,940.0,Spain,Spain,1992-06-26,Goalkeeper,,Right,183.0,PROTIO SPORT,ES1,0,0,4.0,0,0,1,110700.0
3700,3700,2019.0,3368.0,Spain,Spain,1989-11-07,Defender,Left-Back,Left,180.0,Promoesport,ES1,2,11,10524.0,27,0,128,885600.0
5110,5110,2015.0,2448.0,Spain,Spain,1991-05-12,Midfield,Central Midfield,Right,190.0,Football Promotions (Scotland) Ltd.,ES1,0,0,104.0,0,0,5,221400.0
2012,2012,2016.0,897.0,Spain,Spain,1985-06-07,Midfield,Defensive Midfield,Right,176.0,Implica-T,ES1,3,2,5190.0,9,0,67,110700.0
2438,2438,2020.0,1268.0,Netherlands,Morocco,1991-08-29,Attack,Left Winger,Right,178.0,Youonegoal,NL1,23,19,8498.0,14,0,122,719550.0
272,272,2019.0,1244.0,Spain,Spain,1984-05-25,Goalkeeper,,Left,187.0,MESAS SPORT,ES1,0,2,15026.0,21,0,167,110700.0
6355,6355,2016.0,968.0,Belgium,Belgium,1991-05-25,Defender,Centre-Back,Right,195.0,Eleven Management,BE1,3,1,5397.0,16,2,68,332100.0
1360,1360,2019.0,6418.0,France,France,1987-09-27,Attack,Left Winger,Left,174.0,TTMA,GR1,21,12,8621.0,16,0,147,221400.0
3316,3316,2021.0,1090.0,Portugal,Netherlands,1992-02-08,Defender,Centre-Back,Left,185.0,Juzzt Football,NL1,7,1,,33,0,194,2435400.0
264,264,2018.0,2457.0,Brazil,Brazil,1987-02-14,Goalkeeper,,Left,190.0,NWS - Neis World Sports,PO1,0,0,4484.0,6,1,51,442800.0
10419,10419,2019.0,2578.0,,Scotland,1999-04-12,Defender,Right-Back,Right,173.0,ICM Stellar Sports,SC1,0,1,983.0,2,0,12,332100.0
4691,4691,2019.0,128.0,Spain,Spain,1989-06-26,Defender,Left-Back,Left,185.0,Niagara Sports Company,GR1,3,6,5819.0,17,0,68,221400.0
4969,4969,2018.0,11127.0,Russia,Russia,1995-02-14,Midfield,Central Midfield,Left,173.0,,RU1,4,2,377.0,0,0,6,332100.0
3935,3935,2019.0,969.0,"Korea, South","Korea, South",1992-03-07,Attack,Left Winger,Right,178.0,GSEN Inc,FR1,0,0,425.0,1,0,17,996300.0
2420,2420,2014.0,19771.0,Germany,Turkey,1990-08-26,Attack,Centre-Forward,Right,187.0,derSpielerberater,TR1,0,0,37.0,0,0,2,55350.0
2627,2627,2019.0,60949.0,France,Algeria,1988-03-05,Defender,Centre-Back,Left,188.0,The Winners Society,GR1,0,0,386.0,2,0,6,221400.0
12139,12139,2021.0,3719.0,Russia,Russia,1998-09-24,Attack,Centre-Forward,Right,184.0,,RU1,5,4,1154.0,5,0,44,553500.0
339,339,2020.0,833.0,Netherlands,Morocco,1988-08-16,Attack,Attacking Midfield,Right,174.0,MSG,TR1,2,13,6707.0,6,0,101,138990.0
5324,5324,2021.0,2410.0,Cote d'Ivoire,Cote d'Ivoire,1995-09-25,Midfield,Defensive Midfield,Right,186.0,Bernard Collignon,RU1,5,7,12027.0,24,1,148,9963000.0
7392,7392,2021.0,3329.0,Portugal,Portugal,1997-05-20,Midfield,Central Midfield,Right,183.0,YOU FIRST,PO1,11,14,10378.0,26,0,151,3874500.0
4806,4806,2018.0,520.0,France,Gabon,1988-11-28,Defender,Right-Back,Right,179.0,SAS ASSIST & GOAL,BE1,1,1,,16,0,43,332100.0
9960,9960,2021.0,43.0,Romania,Romania,1993-05-07,Defender,Centre-Back,Right,188.0,Dapo Kayode,SC1,0,0,1470.0,2,0,16,387450.0
3831,3831,2019.0,1053.0,Cote d'Ivoire,Denmark,1992-08-11,Defender,Centre-Back,Right,183.0,,DK1,4,0,10553.0,21,1,122,2214000.0
3589,3589,2014.0,403.0,Netherlands,Netherlands,1991-08-08,Midfield,Central Midfield,Right,185.0,Fred Sportsmanagement,NL1,0,0,21.0,0,0,1,332100.0
6199,6199,2021.0,24.0,Switzerland,Switzerland,1997-02-06,Midfield,Central Midfield,Right,184.0,Signature - ISCM AG,L1,4,13,8494.0,18,0,116,24354000.0
11895,11895,2021.0,1158.0,Mali,Mali,1999-06-16,Attack,Centre-Forward,Left,190.0,First Access Sports,FR1,5,1,726.0,2,0,16,4981500.0
11076,11076,2021.0,1123.0,Scotland,Scotland,2001-06-11,Midfield,Central Midfield,Right,,ICM Stellar Sports,GB1,0,1,2673.0,2,0,41,13284000.0
8173,8173,2021.0,273.0,France,France,1997-04-24,Defender,Centre-Back,Right,183.0,M FOOT,FR1,0,3,6119.0,7,2,89,2767500.0
8034,8034,2021.0,367.0,France,France,1998-05-13,Goalkeeper,,Right,183.0,Roalza,ES1,0,0,1306.0,0,1,15,2214000.0
6306,6306,2016.0,2420.0,Brazil,Brazil,1994-08-02,Attack,Centre-Forward,Right,184.0,Goldsports,PO1,0,0,112.0,1,0,3,830250.0
6817,6817,2021.0,3.0,Germany,Germany,1996-07-20,Defender,Centre-Back,Right,190.0,TBSportmarketing GmbH,L1,1,1,2522.0,10,0,28,3321000.0
11826,11826,2021.0,2441.0,Greece,Greece,1997-08-23,Defender,Right-Back,Right,180.0,E.C.DIMITRIADIS sro,GR1,0,1,,12,0,51,1107000.0
10624,10624,2021.0,2457.0,Portugal,Portugal,1998-10-10,Defender,Right-Back,Right,180.0,Invictus Team,PO1,0,3,3693.0,14,1,63,442800.0
7132,7132,2018.0,1038.0,Italy,Italy,1995-04-02,Midfield,Right Midfield,Right,182.0,Vigo Global Sport Services Srl,IT1,0,0,19.0,0,0,1,332100.0
471,471,2019.0,6195.0,Spain,Spain,1985-02-26,Attack,Centre-Forward,Right,195.0,CAA Base Ltd,IT1,44,16,9969.0,15,0,218,664200.0
11988,11988,2018.0,366.0,Spain,Spain,2000-03-08,Defender,Right-Back,Right,180.0,,ES1,0,0,83.0,0,0,1,110700.0
10408,10408,2021.0,190.0,South Africa,South Africa,1997-08-05,Attack,Left Winger,Right,171.0,LUPUS,DK1,10,7,4710.0,11,1,73,1660500.0
9507,9507,2016.0,336.0,Brazil,Brazil,1995-08-21,Midfield,Defensive Midfield,Left,192.0,Brazilsport,PO1,0,0,,1,0,6,553500.0
11653,11653,2021.0,235.0,Netherlands,Netherlands,2000-01-17,Attack,Right Winger,Right,175.0,Louis Laros,NL1,4,0,407.0,1,0,15,387450.0
5232,5232,2017.0,3325.0,Brazil,Brazil,1989-08-24,Attack,Attacking Midfield,Right,185.0,,PO1,0,1,265.0,1,0,8,166050.0
12727,12727,2018.0,2671.0,Greece,Greece,2000-12-10,Defender,Left-Back,,0.0,Target Sport,GR1,0,0,181.0,1,0,3,138990.0
5076,5076,2020.0,4603.0,Jugoslawien (SFR),Croatia,1988-01-23,Defender,Centre-Back,Right,193.0,TT Sportsmanagement,GR1,3,0,6623.0,21,0,79,276750.0
13185,13185,2021.0,1158.0,France,France,2000-02-03,Attack,Attacking Midfield,,170.0,Cracksman,FR1,2,8,4014.0,8,0,72,6642000.0
8181,8181,2021.0,714.0,Spain,Spain,1992-05-07,Attack,Right Winger,Right,173.0,More Than Players,ES1,13,18,8806.0,20,0,137,4428000.0
11704,11704,2021.0,3911.0,France,France,1998-05-30,Midfield,Central Midfield,Left,172.0,USM GROUP ,FR1,0,1,2291.0,9,0,49,2214000.0
4840,4840,2021.0,27.0,Germany,Germany,1995-09-03,Defender,Centre-Back,Right,195.0,Sports360 GmbH,L1,10,9,20171.0,20,1,256,38745000.0
13613,13613,2021.0,48726.0,Ukraine,Ukraine,2000-01-31,Attack,Left Winger,Right,168.0,ProStar,UKR1,1,1,512.0,2,0,17,221400.0
10054,10054,2021.0,16795.0,Portugal,Portugal,1999-01-05,Goalkeeper,,Both,190.0,MRP.POSITIONUMBER,ES1,0,0,6076.0,3,0,68,13284000.0
4304,4304,2021.0,1049.0,Netherlands,Netherlands,1989-04-22,Goalkeeper,,Right,187.0,SEG,ES1,0,3,16109.0,4,0,181,3321000.0
11251,11251,2021.0,306.0,Netherlands,Netherlands,2000-02-06,Attack,Centre-Forward,Right,190.0,,NL1,6,1,,1,0,30,1439100.0
9248,9248,2020.0,366.0,Spain,Spain,1995-01-07,Attack,Left Winger,Right,172.0,JV SPORTS SL,ES1,7,4,4486.0,9,0,75,2767500.0
1776,1776,2021.0,3060.0,Spain,Spain,1987-11-02,Defender,Left-Back,Left,179.0,Pedro Bravo - Consulting,GR1,0,3,8868.0,15,0,111,166050.0
6335,6335,2017.0,3690.0,Russia,Russia,1994-01-24,Defender,Right-Back,Right,175.0,,RU1,0,0,464.0,1,0,9,166050.0
13636,13636,2021.0,618.0,France,France,2002-05-15,Attack,Centre-Forward,,177.0,,FR1,0,0,12.0,0,0,1,332100.0
11590,11590,2019.0,5724.0,,Denmark,1998-08-03,Defender,Right-Back,Right,185.0,Sivebaek Sports,DK1,0,1,1060.0,0,0,22,110700.0
9648,9648,2021.0,49364.0,Ukraine,Ukraine,1997-05-28,Midfield,Central Midfield,Right,184.0,ProStar,UKR1,2,0,1053.0,2,0,21,221400.0
3153,3153,2021.0,979.0,Senegal,Senegal,1991-01-01,Defender,Centre-Back,Right,197.0,,PO1,3,1,8065.0,29,2,102,442800.0
6585,6585,2021.0,3057.0,Yugoslavia (Republic),Montenegro,1995-12-12,Attack,Right Winger,Right,185.0,Igor Gluscevic,BE1,8,14,6711.0,13,0,115,442800.0
3491,3491,2014.0,370.0,Scotland,Scotland,1993-09-05,Defender,Centre-Back,Left,188.0,CAA Base Ltd,SC1,0,0,1.0,0,0,1,332100.0
2391,2391,2021.0,31.0,Germany,Cameroon,1991-08-08,Defender,Centre-Back,Right,195.0,ASBW Sport Marketing,GB1,16,10,18786.0,24,0,228,19926000.0
13426,13426,2020.0,369.0,,Denmark,2004-09-16,Midfield,Central Midfield,Right,184.0,,DK1,0,0,51.0,0,0,1,55350.0
975,975,2021.0,18.0,Germany,Germany,1988-08-26,Attack,Attacking Midfield,Right,181.0,Dirk Hebel,L1,85,53,,62,0,262,2767500.0
4316,4316,2016.0,16247.0,Jugoslawien (SFR),Serbia,1990-06-01,Defender,Centre-Back,Right,194.0,,UKR1,1,0,4201.0,12,0,50,221400.0
7424,7424,2017.0,114.0,Brazil,Brazil,1994-02-01,Attack,Attacking Midfield,Left,190.0,Carlos Leite,TR1,54,16,9380.0,22,0,145,12730500.0
9379,9379,2018.0,441.0,Italy,Italy,1997-07-26,Midfield,Central Midfield,Right,178.0,Reset Group Srl,GR1,1,1,2154.0,2,0,30,774900.0
2823,2823,2018.0,443.0,,Denmark,1989-09-12,Defender,Centre-Back,Right,195.0,,DK1,3,0,3652.0,6,0,43,221400.0
8609,8609,2021.0,10.0,Japan,Japan,1996-04-14,Attack,Attacking Midfield,Both,177.0,Yu Matoji,L1,12,5,3826.0,0,0,53,5535000.0
4487,4487,2018.0,1421.0,France,Madagascar,1990-03-28,Defender,Right-Back,Right,178.0,CMB - Sport,FR1,0,2,4914.0,11,1,57,1328400.0
6507,6507,2021.0,543.0,Portugal,Portugal,1997-03-13,Midfield,Defensive Midfield,Right,180.0,Gestifute,GB1,21,12,17257.0,48,0,244,44280000.0
3992,3992,2021.0,2671.0,Germany,Greece,1992-09-09,Attack,Left Winger,Both,178.0,,GR1,7,12,4641.0,9,0,92,332100.0
4985,4985,2021.0,826.0,France,Mali,1992-12-02,Defender,Left-Back,Left,179.0,USM GROUP ,FR1,3,6,5291.0,14,1,73,2214000.0
757,757,2021.0,39.0,Germany,Germany,1988-07-17,Defender,Right-Back,Right,178.0,Dirk Hebel,L1,12,32,17389.0,20,1,224,553500.0
8289,8289,2021.0,6574.0,France,France,1997-12-04,Midfield,Defensive Midfield,Right,167.0,Wasserman,IT1,9,20,13675.0,36,0,202,15498000.0
2255,2255,2021.0,1123.0,Germany,Germany,1993-01-12,Defender,Centre-Back,Right,194.0,Unique Sports Group,GB1,0,2,1733.0,4,0,22,1107000.0
8350,8350,2018.0,157.0,Sweden,Sweden,1997-01-08,Midfield,Defensive Midfield,Right,192.0,MD Management,BE1,0,0,97.0,0,0,2,1328400.0
4731,4731,2021.0,1049.0,Italy,Italy,1992-09-26,Defender,Right-Back,Right,189.0,CAA Base Ltd,ES1,4,6,9912.0,25,1,125,1328400.0
5775,5775,2021.0,15.0,Germany,Germany,1996-02-11,Defender,Centre-Back,Right,195.0,Hu & Gu,L1,7,11,22254.0,25,2,258,27675000.0
